"dataelement","period","orgunit","categoryoptioncombo","value","storedby","timestamp","comment","followup"
"cI3OTahNbFi","2011","vOTbnpbmxQ7","P3p47Zcxn1C",5654,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","IWxfHMNjBBs","P3p47Zcxn1C",3361,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","wMSZowyMsKG","P3p47Zcxn1C",8056,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","yimHDBehbjC","P3p47Zcxn1C",7450,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","Qq1UKu7Gm1l","P3p47Zcxn1C",2661,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","tr4lcambg60","P3p47Zcxn1C",3412,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","NYwYOsrxM3Q","P3p47Zcxn1C",8076,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","ayG2P63b3cF","P3p47Zcxn1C",3879,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","tnrViZvrOUx","P3p47Zcxn1C",2495,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","aZ2qquNQifo","P3p47Zcxn1C",5642,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","Pwko9eJC3nh","P3p47Zcxn1C",3352,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","M3fPreStIEu","P3p47Zcxn1C",4534,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","B0bAb5RqjQy","P3p47Zcxn1C",4543,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","zsVPVTjDUyS","P3p47Zcxn1C",4926,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","kmmvRInXdsE","P3p47Zcxn1C",5596,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","OUGEWR3mShI","P3p47Zcxn1C",2603,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","JaJLC72mwGj","P3p47Zcxn1C",1991,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","hn9KDBZAOhK","P3p47Zcxn1C",1148,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","Z865tN8h365","P3p47Zcxn1C",3977,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","YMB0jyb8vcH","P3p47Zcxn1C",3112,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","hKSXSSEurRP","P3p47Zcxn1C",1802,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","Y2i8NIN0uPV","P3p47Zcxn1C",3939,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","Cuwty3AInSt","P3p47Zcxn1C",5844,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","y5HMSrXMbwo","P3p47Zcxn1C",12948,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","rAyocaSosyN","P3p47Zcxn1C",23386,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","IL73fYyNmT2","P3p47Zcxn1C",4230,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","QS6D1MbiH5j","P3p47Zcxn1C",5891,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","dhRimJo5s6P","P3p47Zcxn1C",12451,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","mzrxCD86gKU","P3p47Zcxn1C",3926,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","FQE5yzgLd6n","P3p47Zcxn1C",4919,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","WUglioh8JRD","P3p47Zcxn1C",5009,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","tKriTtTVGxZ","P3p47Zcxn1C",6116,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","Fw1TfXbuDU7","P3p47Zcxn1C",2227,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","mhjvWt0DuT7","P3p47Zcxn1C",2570,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","R1nv7Pj9npc","P3p47Zcxn1C",5828,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","hejr6SjZDaP","P3p47Zcxn1C",3332,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","ruOtFeRdQ1R","P3p47Zcxn1C",6187,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","XqjtLxJPkmG","P3p47Zcxn1C",2551,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","qy1yB89MUtS","P3p47Zcxn1C",3025,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","bEXY4iIqh5m","P3p47Zcxn1C",5803,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","wSx4fqGQclK","P3p47Zcxn1C",3828,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","hRkYmrmHvmx","P3p47Zcxn1C",2454,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","Swdou8KFfDa","P3p47Zcxn1C",2969,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","AePBXESjYCz","P3p47Zcxn1C",1890,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","Fed9MSODAKb","P3p47Zcxn1C",2826,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","fcNjUQtvzQv","P3p47Zcxn1C",11867,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","RQgWdGfvDjf","P3p47Zcxn1C",5123,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","JtlkDznah29","P3p47Zcxn1C",6171,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","HJyOHOSet5T","P3p47Zcxn1C",2012,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","fQ7fp2mSPvj","P3p47Zcxn1C",755,"admin","2013-01-30T07:27:01+0000","Import from R","false"
